,title,magnitude,date_time,tsunami,nst,depth,latitude,longitude,location,continent,country,date_parsed
572,"M 6.5 - 50 km S of Koróni, Greece",6.5,14-02-2008 12:08,0,650,28,36.345,21.863,"Koróni, Greece",Europe,,2/14/2008
573,"M 6.9 - 35 km S of Methóni, Greece",6.9,14-02-2008 10:09,0,645,29,36.501,21.67,"Methóni, Greece",Europe,,2/14/2008
574,"M 6.5 - 9 km SSW of General Pascual Fentes, Mexico",6.5,12/2/2008 12:50,0,521,83,16.357,-94.304,"General Pascual Fentes, Mexico",,Mexico,12/2/2008
575,"M 6.6 - 46 km SSE of Gisborne, New Zealand",6.6,20-12-2007 07:55,0,461,20,-39.011,178.291,"Gisborne, New Zealand",,,12/20/2007
576,"M 6.7 - 80 km NNE of Antofagasta, Chile",6.7,16-12-2007 08:09,0,481,45,-22.954,-70.182,Ant,South America,Chile,12/16/2007
577,"M 7.4 - 18 km WNW of Basse-Pointe, Martinique",7.4,29-11-2007 19:00,0,663,156,14.944,-61.274,"Basse-Pointe, Martinique",,Martinique,11/29/2007
578,"M 6.6 - 60 km SSE of Kirakira, Solomon Islands",6.6,27-11-2007 11:49,0,280,16,-10.95,162.149,"Kirakira, Solomon Islands",,Solomon Islands,11/27/2007
579,"M 6.5 - 34 km N of Dompu, Indonesia",6.5,25-11-2007 19:53,0,272,18,-8.224,118.467,"Dompu, Indonesia",,Indonesia,11/25/2007
580,"M 6.5 - 28 km NNW of Dompu, Indonesia",6.5,25-11-2007 16:02,0,353,20,-8.292,118.37,"Dompu, Indonesia",,Indonesia,11/25/2007
581,"M 6.8 - 107 km N of Lae, Papua New Guinea",6.8,22-11-2007 08:48,0,341,53,-5.757,147.098,"Lae, Papua New Guinea",,Papua New Guinea,11/22/2007
582,"M 6.8 - 30 km E of Macas, Ecuador",6.8,16-11-2007 03:13,0,649,122.9,-2.312,-77.838,"Macas, Ecuador",South America,Ecuador,11/16/2007
583,"M 6.8 - 82 km NNE of Antofagasta, Chile",6.8,15-11-2007 15:05,0,285,26,-22.925,-70.237,Ant,South America,Chile,11/15/2007
584,"M 7.7 - 36 km ESE of Tocopilla, Chile",7.7,14-11-2007 15:40,0,610,40,-22.247,-69.89,"Tocopilla, Chile",South America,Chile,11/14/2007
585,"M 6.8 - 138 km W of Bengkulu, Indonesia",6.8,24-10-2007 21:02,0,494,21,-3.899,101.02,"Bengkulu, Indonesia",,Indonesia,10/24/2007
586,"M 6.8 - 70 km N of Te Anau, New Zealand",6.8,15-10-2007 12:29,0,338,18,-44.796,167.553,"Te Anau, New Zealand",,New Zealand,10/15/2007
587,"M 6.8 - 154 km ESE of Kokopo, Papua New Guinea",6.8,26-09-2007 12:36,0,348,40,-4.99,153.5,"Kokopo, Papua New Guinea",,Papua New Guinea,9/26/2007
588,"M 6.7 - 118 km SSW of Padang, Indonesia",6.7,20-09-2007 08:31,0,503,30,-1.999,100.141,"Padang, Indonesia",,Indonesia,9/20/2007
589,"M 7.0 - 153 km SSW of Padang, Indonesia",7,13-09-2007 03:35,0,537,22,-2.13,99.627,"Padang, Indonesia",,Indonesia,9/13/2007
590,"M 6.5 - Kepulauan Mentawai region, Indonesia",6.5,13-09-2007 02:30,0,409,28.9,-1.689,99.668,"Kepulauan Mentawai region, Indonesia",,Indonesia,9/13/2007
591,"M 7.9 - 87 km SW of Sungai Penuh, Indonesia",7.9,12/9/2007 23:49,0,446,35,-2.625,100.841,"Sungai Penuh, Indonesia",,Indonesia,12/9/2007
592,"M 7.8 - 148 km WSW of Sungai Penuh, Indonesia",7.8,12/9/2007 23:49,0,0,40.5,-2.52,100.139,"Sungai Penuh, Indonesia",Asia,Indonesia,12/9/2007
593,"M 8.4 - 122 km SW of Bengkulu, Indonesia",8.4,12/9/2007 11:10,0,411,34,-4.438,101.367,"Bengkulu, Indonesia",,Indonesia,12/9/2007
594,"M 6.8 - 39 km WNW of Timbiquí, Colombia",6.8,10/9/2007 1:49,0,653,15,2.966,-77.963,"Timbiquí, Colombia",,Colombia,10/9/2007
595,"M 7.2 - 97 km S of Lata, Solomon Islands",7.2,2/9/2007 1:05,0,312,35,-11.61,165.762,"Lata, Solomon Islands",,,2/9/2007
596,"M 6.5 - 31 km WSW of Malango, Solomon Islands",6.5,16-08-2007 08:39,0,382,15,-9.834,159.465,"Malango, Solomon Islands",,,8/16/2007
597,"M 8.0 - 41 km SW of San Vicente de Cañete, Peru",8,15-08-2007 23:40,0,625,39,-13.386,-76.603,"San Vicente de Cañete, Peru",,Peru,8/15/2007
598,"M 7.5 - 35 km NNE of Rengasdengklok, Indonesia",7.5,8/8/2007 17:05,0,228,280,-5.859,107.419,"Rengasdengklok, Indonesia",,Indonesia,8/8/2007
599,"M 7.2 - 56 km E of Luganville, Vanuatu",7.2,1/8/2007 17:08,0,494,120,-15.595,167.68,"Luganville, Vanuatu",,Vanuatu,1/8/2007
600,"M 6.9 - 140 km NNW of Tobelo, Indonesia",6.9,26-07-2007 05:40,0,374,25,2.872,127.464,"Tobelo, Indonesia",,Indonesia,7/26/2007
601,"M 6.8 - 133 km WNW of Mikuni, Japan",6.8,16-07-2007 14:17,0,664,350.4,36.808,134.85,"Mikuni, Japan",,,7/16/2007
602,"M 6.6 - 20 km NNW of Kashiwazaki, Japan",6.6,16-07-2007 01:13,0,782,12,37.535,138.446,"Kashiwazaki, Japan",Asia,Japan,7/16/2007
603,"M 6.7 - 43 km SSE of Iztapa, Guatemala",6.7,13-06-2007 19:29,0,468,23,13.554,-90.618,"Iztapa, Guatemala",,,6/13/2007
604,"M 6.9 - 113 km SSE of Panguna, Papua New Guinea",6.9,1/4/2007 21:11,0,305,10,-7.306,155.741,"Panguna, Papua New Guinea",,Solomon Islands,1/4/2007
605,"M 6.6 - 99 km SSE of Panguna, Papua New Guinea",6.6,1/4/2007 20:47,0,251,10,-7.169,155.777,"Panguna, Papua New Guinea",,Solomon Islands,1/4/2007
606,"M 8.1 - 45 km SSE of Gizo, Solomon Islands",8.1,1/4/2007 20:39,0,439,24,-8.466,157.043,"Gizo, Solomon Islands",,Solomon Islands,1/4/2007
607,"M 6.7 - 46 km NW of Nanao, Japan",6.7,25-03-2007 00:41,0,493,8,37.336,136.588,"Nanao, Japan",Asia,Japan,3/25/2007
608,"M 7.1 - 119 km S of Isangel, Vanuatu",7.1,25-03-2007 00:40,0,426,34,-20.617,169.357,"Isangel, Vanuatu",,,3/25/2007
609,"M 6.7 - 206 km SSW of Sofifi, Indonesia",6.7,20-02-2007 08:04,0,253,12,-1.034,126.976,S,,Indonesia,2/20/2007
610,"M 7.5 - 126 km WNW of Ternate, Indonesia",7.5,21-01-2007 11:27,0,570,22,1.065,126.282,"Ternate, Indonesia",,Indonesia,1/21/2007
611,M 8.1 - east of the Kuril Islands,8.1,13-01-2007 04:23,0,606,10,46.243,154.524,the Kuril Islands,,,1/13/2007
612,"M 6.9 - 26 km W of Hengchun, Taiwan",6.9,26-12-2006 12:34,0,466,10,21.974,120.493,"Hengchun, Taiwan",Asia,Taiwan,12/26/2006
613,"M 7.1 - 30 km SW of Hengchun, Taiwan",7.1,26-12-2006 12:26,0,744,10,21.799,120.547,"Hengchun, Taiwan",Asia,Taiwan,12/26/2006
614,M 8.3 - Kuril Islands,8.3,15-11-2006 11:14,0,576,10,46.592,153.266,Kuril Islands,,,11/15/2006
615,"M 6.6 - 155 km SE of Kimbe, Papua New Guinea",6.6,7/11/2006 17:38,0,352,11,-6.482,151.195,"Kimbe, Papua New Guinea",,,7/11/2006
616,"M 6.7 - 52 km SW of San Vicente de Cañete, Peru",6.7,20-10-2006 10:48,0,444,23,-13.457,-76.677,"San Vicente de Cañete, Peru",,Peru,10/20/2006
617,"M 6.7 - 100 km ESE of Kimbe, Papua New Guinea",6.7,17-10-2006 01:25,0,533,32,-5.881,150.982,"Kimbe, Papua New Guinea",,Papua New Guinea,10/17/2006
618,"M 6.7 - 14 km SW of Puako, Hawaii",6.7,15-10-2006 17:07,0,43,38.182,19.877,-155.935,"Puako, Hawaii",,United States of America,10/15/2006
619,"M 6.9 - 201 km ESE of Hihifo, Tonga",6.9,28-09-2006 06:22,0,702,28,-16.592,-172.033,"Hihifo, Tonga",,,9/28/2006
620,"M 6.8 - 49 km S of Panguna, Papua New Guinea",6.8,1/9/2006 10:18,0,459,38,-6.759,155.512,"Panguna, Papua New Guinea",,Papua New Guinea,1/9/2006
621,"M 6.5 - 81 km ESE of Ozernovskiy, Russia",6.5,24-08-2006 21:50,0,700,43,51.148,157.522,"Ozernovskiy, Russia",Asia,Russia,8/24/2006
622,"M 6.8 - 51 km NE of Norsup, Vanuatu",6.8,7/8/2006 22:18,0,551,150,-15.798,167.789,"Norsup, Vanuatu",,Vanuatu,7/8/2006
623,"M 7.7 - 226 km SSW of Singaparna, Indonesia",7.7,17-07-2006 08:19,0,357,20,-9.284,107.419,"Singaparna, Indonesia",,,7/17/2006
